Chi^2 Kaon Lines:
chi^2/NDF kaon = 4.17809
chi^2/NDF kaon = 76.0968
chi^2/NDF kaon = 61.9151
chi^2/NDF kaon = 3.07666
chi^2/NDF kaon = 8.64788
chi^2/NDF kaon = 3.28254
chi^2/NDF kaon = 81.8629
chi^2/NDF kaon = 1.56538
chi^2/NDF kaon = 370.122
chi^2/NDF kaon = 2.07158
chi^2/NDF kaon = 47.3456
chi^2/NDF kaon = 52.1658
chi^2/NDF kaon = 108.844
chi^2/NDF kaon = 421.911
chi^2/NDF kaon = 3.92847
chi^2/NDF kaon = 2.83731
chi^2/NDF kaon = 41.4216
chi^2/NDF kaon = 7.90538
chi^2/NDF kaon = 6.15828
chi^2/NDF kaon = 160.854
chi^2/NDF kaon = 146.339
chi^2/NDF kaon = 143.095
chi^2/NDF kaon = 8.03367
chi^2/NDF kaon = 6.43835
chi^2/NDF kaon = 4.89638
chi^2/NDF kaon = 4.41817
chi^2/NDF kaon = 113.738
chi^2/NDF kaon = 4.54872
chi^2/NDF kaon = 3.04167
chi^2/NDF kaon = 2.55495
chi^2/NDF kaon = 29.3947
chi^2/NDF kaon = 3.5341
chi^2/NDF kaon = 3.60589
chi^2/NDF kaon = 383.494
